run_id,timestamp,step_name,stage,duration,status,error_type,error_message,log_text,failure_type,line_number,file_path,matched_line,exit_code,python_version
run_0001,2026-08-19T14:06:50.3257184Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',"dependency-test	Set up job	﻿2026-08-19T14:06:50.3257184Z Current runner version: '2.336.0'
dependency-test	Set up job	2026-08-19T14:06:50.3284581Z ##[group]Runner Image Provisioner
dependency-test	Set up job	2026-08-19T14:06:50.3285465Z Hosted Compute Agent
dependency-test	Set up job	2026-08-19T14:06:50.3286099Z Version: 20260729.566
dependency-test	Set up job	2026-08-19T14:06:50.3287192Z Commit: cf7153fe6e25b664e8693c24944bf2b00355d109
dependency-test	Set up job	2026-08-19T14:06:50.3287941Z Build Date: 2026-07-29T19:17:02Z
dependency-test	Set up job	2026-08-19T14:06:50.3288678Z Worker ID: {d60632ef-3252-4bbb-9f59-5e7ba5ee598d}
dependency-test	Set up job	2026-08-19T14:06:50.3289429Z Azure Region: eastus2
dependency-test	Set up job	2026-08-19T14:06:50.3290346Z ##[endgroup]
dependency-test	Set up job	2026-08-19T14:06:50.3291916Z ##[group]Operating System
dependency-test	Set up job	2026-08-19T14:06:50.3292563Z Ubuntu
dependency-test	Set up job	2026-08-19T14:06:50.3293078Z 24.04.4
dependency-test	Set up job	2026-08-19T14:06:50.3293675Z LTS
dependency-test	Set up job	2026-08-19T14:06:50.3294236Z ##[endgroup]
dependency-test	Set up job	2026-08-19T14:06:50.3294835Z ##[group]Runner Image
dependency-test	Set up job	2026-08-19T14:06:50.3295469Z Image: ubuntu-24.04
dependency-test	Set up job	2026-08-19T14:06:50.3296053Z Version: 20260816.277.1
dependency-test	Set up job	2026-08-19T14:06:50.3297178Z Included Software: https://github.com/actions/runner-images/blob/ubuntu24/20260816.277/images/ubuntu/Ubuntu2404-Readme.md
dependency-test	Set up job	2026-08-19T14:06:50.3298894Z Image Release: https://github.com/actions/runner-images/releases/tag/ubuntu24%2F20260816.277
dependency-test	Set up job	2026-08-19T14:06:50.3300230Z ##[endgroup]
dependency-test	Set up job	2026-08-19T14:06:50.3301459Z ##[group]GITHUB_TOKEN Permissions
dependency-test	Set up job	2026-08-19T14:06:50.3304205Z Contents: read
dependency-test	Set up job	2026-08-19T14:06:50.3304882Z Metadata: read
dependency-test	Set up job	2026-08-19T14:06:50.3305872Z Packages: read
dependency-test	Set up job	2026-08-19T14:06:50.3306459Z ##[endgroup]
dependency-test	Set up job	2026-08-19T14:06:50.3308613Z Secret source: Actions
dependency-test	Set up job	2026-08-19T14:06:50.3310382Z Prepare workflow directory
dependency-test	Set up job	2026-08-19T14:06:50.3642547Z Prepare all required actions
dependency-test	Set up job	2026-08-19T14:06:50.3708249Z Getting action download info
dependency-test	Set up job	2026-08-19T14:06:50.5561462Z Download action repository 'actions/checkout@v4' (SHA:11d5960a326750d5838078e36cf38b85af677262)
dependency-test	Set up job	2026-08-19T14:06:50.8804015Z Download action repository 'actions/setup-python@v5' (SHA:a26af69be951a213d495a4c3e4e4022e16d87065)
dependency-test	Set up job	2026-08-19T14:06:51.0652610Z Complete job name: dependency-test
dependency-test	Checkout Repository	﻿2026-08-19T14:06:51.1417580Z Node 20 is being deprecated. This workflow is running with Node 24 by default. If you need to temporarily use Node 20, you can set the ACTIONS_ALLOW_USE_UNSECURE_NODE_VERSION=true environment variable. For more information see: https://github.blog/changelog/2025-09-19-deprecation-of-node-20-on-github-actions-runners/
dependency-test	Checkout Repository	2026-08-19T14:06:51.1426703Z ##[group]Run actions/checkout@v4
dependency-test	Checkout Repository	2026-08-19T14:06:51.1427834Z with:
dependency-test	Checkout Repository	2026-08-19T14:06:51.1428383Z   repository: DhruvHegde/dependency-error-repo
dependency-test	Checkout Repository	2026-08-19T14:06:51.1432782Z   token: ***
dependency-test	Checkout Repository	2026-08-19T14:06:51.1433254Z   ssh-strict: true
dependency-test	Checkout Repository	2026-08-19T14:06:51.1433742Z   ssh-user: git
dependency-test	Checkout Repository	2026-08-19T14:06:51.1434228Z   persist-credentials: true
dependency-test	Checkout Repository	2026-08-19T14:06:51.1434760Z   clean: true
dependency-test	Checkout Repository	2026-08-19T14:06:51.1435237Z   sparse-checkout-cone-mode: true
dependency-test	Checkout Repository	2026-08-19T14:06:51.1435799Z   fetch-depth: 1
dependency-test	Checkout Repository	2026-08-19T14:06:51.1436257Z   fetch-tags: false
dependency-test	Checkout Repository	2026-08-19T14:06:51.1436728Z   show-progress: true
dependency-test	Checkout Repository	2026-08-19T14:06:51.1437224Z   lfs: false
dependency-test	Checkout Repository	2026-08-19T14:06:51.1437664Z   submodules: false
dependency-test	Checkout Repository	2026-08-19T14:06:51.1438203Z   set-safe-directory: true
dependency-test	Checkout Repository	2026-08-19T14:06:51.1438748Z   allow-unsafe-pr-checkout: false
dependency-test	Checkout Repository	2026-08-19T14:06:51.1439579Z ##[endgroup]
dependency-test	Checkout Repository	2026-08-19T14:06:51.2483091Z Syncing repository: DhruvHegde/dependency-error-repo
dependency-test	Checkout Repository	2026-08-19T14:06:51.2485198Z ##[group]Getting Git version info
dependency-test	Checkout Repository	2026-08-19T14:06:51.2486141Z Working directory is '/home/runner/work/dependency-error-repo/dependency-error-repo'
